publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Gestaltungsrichtlinien zur Reduzierung von Schaufelschwingungsanregungen infolge instationärer Schaufeldruckverteilungen	978-3-531-03076-0	978-3-322-87688-1							https://link.springer.com/10.1007/978-3-322-87688-1	Gallus	10.1007/978-3-322-87688-1		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3076	1		12398		P
Physikalische und chemische Einflüsse beim Stoffübergang im Sauerstoffaufblasverfahren	978-3-531-03088-3	978-3-322-87692-8							https://link.springer.com/10.1007/978-3-322-87692-8	Lange	10.1007/978-3-322-87692-8		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3088	1		12398		P
Untersuchungen über den Einfluß von Werkstoffgefüge und Reaktionsschichten auf das Wälzreibungs- und Verschleißverhalten vergüteter Stähle	978-3-531-03084-5	978-3-322-87693-5							https://link.springer.com/10.1007/978-3-322-87693-5	Krause	10.1007/978-3-322-87693-5		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3084	1		12398		P
Messung der Zylinderformabweichung durch Abtastung der Mantellinie entlang einer Schraubenlinie	978-3-531-03077-7	978-3-322-87689-8							https://link.springer.com/10.1007/978-3-322-87689-8	Pfeifer	10.1007/978-3-322-87689-8		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3077	1		12398		P
Krümmungseigenschaften sphärischer Bahnkurven im Hinblick auf ihre Anwendungen	978-3-531-03086-9	978-3-322-87691-1							https://link.springer.com/10.1007/978-3-322-87691-1	Dittrich	10.1007/978-3-322-87691-1		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3086	1		12398		P
Mehrachsiges Druck-, Zug-, Schicht- und Behälterkriechen in elementarer und einheitlicher Darstellung	978-3-531-03071-5	978-3-322-87690-4							https://link.springer.com/10.1007/978-3-322-87690-4	Troost	10.1007/978-3-322-87690-4		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3071	1		12398		P
Das Teillastverhalten konventioneller Dampfkraftwerksblöcke	978-3-531-03093-7	978-3-322-87694-2							https://link.springer.com/10.1007/978-3-322-87694-2	Dibelius	10.1007/978-3-322-87694-2		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3093	1		12398		P
Untersuchungen zur Hochtemperaturwechselbeständigkeit schmelzgegossener feuerfester Steine	978-3-531-03089-0	978-3-322-87696-6							https://link.springer.com/10.1007/978-3-322-87696-6	Krönert	10.1007/978-3-322-87696-6		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3089	1		12398		P
Projektierung und Ausführung eines Windrades zur Erzeugung elektrischer bzw. thermischer Energie	978-3-531-03080-7	978-3-322-87695-9							https://link.springer.com/10.1007/978-3-322-87695-9	Hallmann	10.1007/978-3-322-87695-9		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3080	1		12398		P
Vor-Untersuchung von Straßenverkehrsunfällen hinsichtlich des durch Coriolis-Beschleunigung verursachten menschlichen Fehlverhaltens	978-3-531-03094-4	978-3-322-87697-3							https://link.springer.com/10.1007/978-3-322-87697-3	Compes	10.1007/978-3-322-87697-3		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3094	1		12398		P
Verhalten von Kohlenstoffsteinen im Hochofen	978-3-531-03101-9	978-3-322-87700-0							https://link.springer.com/10.1007/978-3-322-87700-0	Dahl	10.1007/978-3-322-87700-0		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3101	1		12398		P
Interferometrische Untersuchungen von Schaltlichtbögen in strömendem SF6	978-3-531-03104-0	978-3-322-87699-7							https://link.springer.com/10.1007/978-3-322-87699-7	Leseberg	10.1007/978-3-322-87699-7		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982		1		12398		P
Berechnung durchbruchbedingter Steifigkeitsminderungen und Spannungsüberhöhungen bei Werkzeugmaschinen	978-3-531-03081-4	978-3-322-87698-0							https://link.springer.com/10.1007/978-3-322-87698-0	Weck	10.1007/978-3-322-87698-0		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3081	1		12398		P
Widerstandsverminderung umströmter Körper durch kombiniertes Ausblasen und Absaugen an der Wand	978-3-531-03103-3	978-3-322-87701-7							https://link.springer.com/10.1007/978-3-322-87701-7	Gersten	10.1007/978-3-322-87701-7		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3103	1		12398		P
Richtwertvorgabe und Externoptimierung beim spitzenlosen Durchlaufschleifen	978-3-531-03102-6	978-3-322-87702-4							https://link.springer.com/10.1007/978-3-322-87702-4	König	10.1007/978-3-322-87702-4		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3102	1		12398		P
Untersuchung des Einflusses der Relativbewegung zwischen Achsen und haftschlüssig aufsitzenden Naben bei umlaufender Biegebeanspruchung	978-3-531-03116-3	978-3-322-87703-1							https://link.springer.com/10.1007/978-3-322-87703-1	Sieben	10.1007/978-3-322-87703-1		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3116	1		12398		P
Untersuchung des Festigkeits- und Verformungsverhaltens geklebter Wellen-Naben- Verbindungen	978-3-531-03123-1	978-3-322-87704-8							https://link.springer.com/10.1007/978-3-322-87704-8	Altmiks	10.1007/978-3-322-87704-8		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3123	1		12398		P
Einfluß von Getterprozessen auf die Eigenschaften von ionenimplantierten integrierten Fotodioden	978-3-531-03133-0	978-3-322-87706-2							https://link.springer.com/10.1007/978-3-322-87706-2	Höfflinger	10.1007/978-3-322-87706-2		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3133	1		12398		P
